Game Title,Console,Genre,Publisher,Developer,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,Naughty Dog,8.7,4.97,2.32,0.12,1.73,0.8,2007,568,7
Fallout 3,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.0,4.96,3.41,0.09,0.99,0.46,2008,113,11
Madden NFL 06,PS2,Sports,EA Sports,EA Tiburon,9.1,4.91,3.98,0.01,0.26,0.66,2005,540,193
Call of Duty: Black Ops IIII,XOne,Shooter,Activision,Treyarch,7.101890450799806,4.8500000000000005,3.27,0.0,1.12,0.46,2018,1044,56
Assassin's Creed,PS3,Action,Ubisoft,Ubisoft Montreal,8.2,4.83,1.91,0.09,2.01,0.82,2007,1012,172
Crash Bandicoot N. Sane Trilogy,PS4,Platform,Activision,Vicarious Visions,7.101890450799806,4.83,1.09,0.07,2.92,0.74,2017,1044,91
Call of Duty: Infinite Warfare,XOne,Shooter,Activision,Infinity Ward,7.101890450799806,4.79,2.91,0.0,1.44,0.44,2016,1044,28
Crash Team Racing,PS,Racing,Sony Computer Entertainment,Naughty Dog,9.2,4.79,2.57,0.44,1.57,0.21,1999,568,7
LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,Traveller's Tales,7.8,4.7700000000000005,2.83,0.0,1.49,0.45,2007,138,152
Batman: Arkham City,X360,Action,Warner Bros. Interactive,Rocksteady Studios,9.5,4.750000000000001,2.99,0.04,1.28,0.44,2011,126,12
Driver 2,PS,Action,Atari,Reflections Interactive,7.0,4.73,2.36,0.02,2.1,0.25,2000,335,12
The Simpsons: Hit & Run,PS2,Racing,VU Games,Radical Entertainment,7.7,4.71,1.73,0.0,2.19,0.79,2003,74,47
Tony Hawk's Pro Skater 2,PS,Sports,Activision,Neversoft Entertainment,9.3,4.68,3.05,0.02,1.41,0.2,2000,1044,52
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,Stormfront Studios,8.3,4.67,1.94,0.08,1.95,0.7,2002,843,22
Tomb Raider,PS,Action,Eidos Interactive,Core Design Ltd.,8.9,4.63,2.29,0.13,1.97,0.24,1996,209,24
Forza Motorsport 4,X360,Racing,Microsoft Studios,Turn 10 Studio,9.1,4.61,2.08,0.06,1.98,0.49,2011,41,2
