Game Title,Console,Genre,Publisher,Developer,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq
Silent Hunter III,PC,Simulation,Ubisoft,Ubisoft Romania,0.6779878278666451,0.0034448818897637803,0.0,0.0,0.007106598984771575,0.003205128205128205,2005,0.9693192713326941,0.0319634703196347
Nicola Kanshuu: Model Oshare * Audition Platinum,3DS,Simulation,Alchemist,Alchemist,0.6779878278666451,0.0034448818897637803,0.0,0.03755868544600939,0.0,0.0,2012,0.04410354745925216,0.0821917808219178
Princess Maker 2,SAT,Simulation,Micro Cabin,Gainax,0.6779878278666451,0.0034448818897637803,0.0,0.03755868544600939,0.0,0.0,1995,0.0009587727708533077,0.0091324200913242
Animal Planet: Emergency Vets,DS,Simulation,Activision,SilverBirch Studios,0.6779878278666451,0.003937007874015749,0.00819672131147541,0.0,0.0,0.003205128205128205,2009,1.0,0.0045662100456621
WRC 6,PS4,Racing,Namco Bandai Games,Bigben Interactive,0.6779878278666451,0.0034448818897637803,0.0030737704918032786,0.004694835680751174,0.0020304568527918783,0.003205128205128205,2017,0.3125599232981783,0.0182648401826484
MX vs ATV All Out,XOne,Racing,THQ Nordic,Rainbow Studios,0.6779878278666451,0.0034448818897637803,0.007172131147540985,0.0,0.0,0.003205128205128205,2018,0.05177372962607862,0.1141552511415525
Monster Trucks DS,DS,Racing,Majesco,Skyworks Technologies,0.6779878278666451,0.0034448818897637803,0.007172131147540985,0.0,0.0,0.003205128205128205,2005,0.21668264621284755,0.0228310502283105
Gadget Racers,PS2,Racing,Conspiracy Entertainment,Barnhouse Effect,0.6779878278666451,0.0034448818897637803,0.004098360655737705,0.0,0.003045685279187817,0.003205128205128205,2001,0.05752636625119846,0.0045662100456621
Jimmie Johnson's Anything With an Engine,PS3,Racing,Konami,Isopod Labs,0.6779878278666451,0.0034448818897637803,0.007172131147540985,0.0,0.0,0.003205128205128205,2011,0.7363374880153403,0.0045662100456621
Ford vs. Chevy,XB,Racing,Global Star Software,2K Games,0.6779878278666451,0.0034448818897637803,0.006147540983606557,0.0,0.0020304568527918783,0.0,2005,0.04410354745925216,0.0091324200913242
The Dukes of Hazzard: Return of the General Lee,XB,Racing,Ubisoft,Ratbag,0.6779878278666451,0.0034448818897637803,0.006147540983606557,0.0,0.0020304568527918783,0.0,2004,0.9693192713326941,0.00684931506849315
SRS: Street Racing Syndicate,GC,Racing,Namco,Eutechnyx,0.6779878278666451,0.003937007874015749,0.007172131147540985,0.0,0.0020304568527918783,0.0,2004,0.16682646212847554,0.0867579908675799
Pretty Rhythm Rainbow Live: Kira Kira My * Design,3DS,Simulation,Takara Tomy,Takara Tomy ARTS,0.6779878278666451,0.0034448818897637803,0.0,0.03755868544600939,0.0,0.0,2013,0.040268456375838924,0.0045662100456621
TrackMania DS,DS,Racing,Atlus,Firebrand Games,0.7222222222222221,0.0034448818897637803,0.006147540983606557,0.0,0.0010152284263959391,0.003205128205128205,2009,0.21572387344199426,0.02511415525114155
Gravel,PS4,Racing,Milestone S.r.l.,Milestone S.r.l.,0.6779878278666451,0.0034448818897637803,0.006147540983606557,0.0,0.0,0.003205128205128205,2018,0.017257909875359537,0.0821917808219178
SCORE International Baja 1000: The Official Game,PS3,Racing,Activision,Left Field Productions,0.6779878278666451,0.0034448818897637803,0.007172131147540985,0.0,0.0,0.003205128205128205,2008,1.0,0.04337899543378995
Blood Drive,PS3,Racing,Activision,Activision,0.6779878278666451,0.0034448818897637803,0.007172131147540985,0.0,0.0,0.003205128205128205,2010,1.0,0.228310502283105
Monster Jam: Crush It,NS,Racing,GameMill,GameMill,0.6779878278666451,0.0034448818897637803,0.004098360655737705,0.0,0.003045685279187817,0.003205128205128205,2017,0.023969319271332692,0.0136986301369863
GT Advance 3: Pro Concept Racing,GBA,Racing,THQ,MTO,0.7444444444444445,0.0034448818897637803,0.005122950819672132,0.0,0.0020304568527918783,0.0,2002,0.6951102588686481,0.07077625570776255
R: Racing Evolution,GC,Racing,Namco,Namco,0.5666666666666667,0.0034448818897637803,0.006147540983606557,0.0,0.0020304568527918783,0.0,2003,0.16682646212847554,0.25799086757990863
Penny Racers Party: Turbo-Q Speedway,Wii,Racing,Takara Tomy,Takara Tomy,0.6779878278666451,0.0034448818897637803,0.007172131147540985,0.0,0.0,0.003205128205128205,2008,0.040268456375838924,0.09360730593607305
Ride 2,XOne,Racing,Milestone S.r.l,Milestone S.r.l.,0.6779878278666451,0.0034448818897637803,0.006147540983606557,0.0,0.0010152284263959391,0.003205128205128205,2017,0.004793863854266539,0.0821917808219178
TOCA Race Driver 3: The Ultimate Racing Simulator,PS2,Racing,Codemasters,Codemasters,0.6779878278666451,0.0034448818897637803,0.004098360655737705,0.0,0.003045685279187817,0.003205128205128205,2006,0.1601150527325024,0.1689497716894977
Pac-Man World Rally,GC,Racing,Namco Bandai,Smart Bomb Interactive,0.6779878278666451,0.0034448818897637803,0.006147540983606557,0.0,0.0020304568527918783,0.0,2006,0.31831255992329816,0.0091324200913242
Build 'n Race,Wii,Racing,Zoo Games,Icon Games,0.6779878278666451,0.003937007874015749,0.00819672131147541,0.0,0.0,0.003205128205128205,2009,0.055608820709491844,0.00684931506849315
Spintires: MudRunner - American Wilds,PS4,Racing,Focus Home Interactive,Saber Interactive,0.6779878278666451,0.003937007874015749,0.007172131147540985,0.0,0.0,0.00641025641025641,2018,0.07670182166826461,0.02968036529680365
Pimp My Ride: Street Racing,PS2,Racing,Activision,Virtuos,0.6779878278666451,0.0034448818897637803,0.004098360655737705,0.0,0.003045685279187817,0.003205128205128205,2009,1.0,0.0319634703196347
