Game Title,Release Year,North American Sales,EU Sales,Japanese Sales,Other Sales,Sales,Critic Score,Big Publisher,Genre_Adventure,Genre_Fighting,Genre_Misc,Genre_Platform,Genre_Puzzle,Genre_Racing,Genre_Role-Playing,Genre_Shooter,Genre_Simulation,Genre_Sports,Genre_Strategy,Console_3DO,Console_3DS,Console_DC,Console_DS,Console_GB,Console_GBA,Console_GC,Console_GEN,Console_GG,Console_N64,Console_NES,Console_NG,Console_PC,Console_PCFX,Console_PS,Console_PS2,Console_PS3,Console_PS4,Console_PSP,Console_PSV,Console_SAT,Console_SCD,Console_SNES,Console_TG16,Console_WS,Console_Wii,Console_WiiU,Console_X360,Console_XB,Console_XOne,Publisher_Acclaim Entertainment,Publisher_Activision,Publisher_Atari,Publisher_Capcom,Publisher_Codemasters,Publisher_D3Publisher,Publisher_Deep Silver,Publisher_Disney Interactive Studios,Publisher_Eidos Interactive,Publisher_Electronic Arts,Publisher_Idea Factory,Publisher_Konami Digital Entertainment,Publisher_Majesco Entertainment,Publisher_Microsoft Game Studios,Publisher_Midway Games,Publisher_Namco Bandai Games,Publisher_Nintendo,Publisher_Nippon Ichi Software,Publisher_Other,Publisher_Sega,Publisher_Sony Computer Entertainment,Publisher_Square Enix,Publisher_THQ,Publisher_Take-Two Interactive,Publisher_Tecmo Koei,Publisher_Ubisoft,Publisher_Unknown,Publisher_Vivendi Games,Publisher_Warner Bros. Interactive Entertainment,Publisher_Zoo Digital Publishing,Developer_Arc System Works,Developer_Artificial Mind and Movement,Developer_Capcom,Developer_Codemasters,Developer_EA Canada,Developer_EA Sports,Developer_EA Tiburon,Developer_Electronic Arts,Developer_Eurocom Entertainment Software,Developer_FUN Labs,Developer_Harmonix Music Systems,Developer_High Voltage Software,Developer_Konami,Developer_Maxis,Developer_Midway,Developer_Namco,Developer_Neversoft Entertainment,Developer_Nintendo,Developer_Omega Force,Developer_Other,Developer_Square Enix,Developer_THQ,Developer_TT Games,Developer_Traveller's Tales,Developer_Ubisoft,Developer_Ubisoft Montreal,Developer_Unknown,Developer_Vicarious Visions,Developer_Visual Concepts,Developer_Yuke's,Decade,NA Share,EU Share,JP Share,Other Share,Is Recent
Grand Theft Auto V,2013.0,0.2335589941972921,0.17748618784530387,0.005870841487279843,0.1333964049195837,0.19704314105671353,0.988235294117647,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2010.0,1.185319077562149,0.9007478610697709,0.029794701078126238,0.6769908569473584,1
Grand Theft Auto: Vice City,2002.0,0.20333655705996134,0.1895718232044199,0.04598825831702544,0.16840113528855252,0.19558894813378574,0.9647058823529412,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2000.0,1.0396116907427515,0.969235864363614,0.23512708031728247,0.8609951477082624,0
Pokemon Ruby/Pokemon Sapphire,2002.0,0.1465183752417795,0.13466850828729282,0.5264187866927592,0.04730368968779565,0.1919534658264663,0.6584432765363734,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2000.0,0.7633015356661391,0.7015685166582957,2.742429184210006,0.2464331106715213,0
Brain Age 2: More Training in Minutes a Day,2005.0,0.0829303675048356,0.1847375690607735,0.5205479452054794,0.11163670766319772,0.1851672321861367,0.7529411764705882,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.44786740356669064,0.9976795941685227,2.811231442300796,0.6028966699193112,0
Pokemon Black/Pokemon White,2010.0,0.13322050290135398,0.10946132596685083,0.5528375733855186,0.07568590350047305,0.183349491032477,0.6584432765363734,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2010.0,0.7265932517792286,0.5970091618496054,3.0152119336267678,0.4127958200171207,1
Gran Turismo 3: A-Spec,2001.0,0.16561895551257252,0.1757596685082873,0.18297455968688844,0.10974456007568589,0.18141056713523995,0.9647058823529412,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2000.0,0.9129509825582821,0.9688502234671923,1.0086212869313316,0.6049513091146025,0
Call of Duty: Modern Warfare 3,2011.0,0.218568665377176,0.14640883977900554,0.012720156555772993,0.12488174077578053,0.17838099854580708,0.8823529411764705,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2010.0,1.225291186611723,0.8207647730002403,0.07130892112652089,0.700084323968574,1
Pokémon Yellow: Special Pikachu Edition,1998.0,0.14240812379110251,0.17403314917127072,0.30528375733855184,0.05581835383159886,0.17729035385361125,0.6584432765363734,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1990.0,0.8032480092441407,0.9816278516482064,1.7219422867790362,0.31484145988951046,0
Call of Duty: Black Ops 3,2015.0,0.14579303675048358,0.20234806629834257,0.03522504892367906,0.22516556291390727,0.17716917111003394,0.6584432765363734,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2010.0,0.8229029680335092,1.1421178133337364,0.19882154837086155,1.2709071307561988,1
Call of Duty: Black Ops,2010.0,0.23452611218568664,0.1270718232044199,0.010763209393346379,0.10690633869441815,0.1769268056228793,0.8705882352941176,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2010.0,1.3255544368193741,0.718216907591009,0.060834249256092,0.6042404841824237,1
