Game Title,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq,Console Freq,Genre Freq,Decade,NA Share,EU Share,JP Share,Other Share,Is Recent,Game Quality,Game Quality Encoded
SingStar '90s,0.6779878278666451,0.042322834645669286,0.010245901639344263,0.0,0.0598984771573604,0.05769230769230768,2008,0.5436241610738255,0.1324200913242009,0.8872180451127819,0.7054263565891473,2000,0.1149425287356322,0.6781609195402298,0.0,0.20689655172413793,0,High,2
Fight Night Round 2,0.6779878278666451,0.042322834645669286,0.07377049180327869,0.0,0.003045685279187817,0.03846153846153846,2005,0.5167785234899328,0.1004566210045662,0.8872180451127819,0.306553911205074,2000,0.8275862068965517,0.034482758620689655,0.0,0.13793103448275862,0,High,2
Ghostbusters: The Video Game,0.7333333333333332,0.042322834645669286,0.060450819672131145,0.0,0.02131979695431472,0.022435897435897436,2009,0.32023010546500474,0.0136986301369863,0.5664160401002506,1.0,2000,0.6781609195402298,0.24137931034482757,0.0,0.08045977011494254,0,High,2
For Honor,0.6779878278666451,0.042322834645669286,0.05840163934426229,0.0,0.02131979695431472,0.02564102564102564,2017,0.9693192713326941,0.3904109589041096,0.2184628237259816,1.0,2010,0.6551724137931034,0.24137931034482757,0.0,0.09195402298850575,1,High,2
Final Fantasy XIV Online,0.6779878278666451,0.042322834645669286,0.039959016393442626,0.13145539906103287,0.00913705583756345,0.035256410256410256,2013,0.19942473633748803,0.2374429223744292,0.56265664160401,0.0102184637068358,2010,0.4482758620689655,0.10344827586206896,0.32183908045977017,0.12643678160919541,0,High,2
Mario Party: Star Rush,0.5777777777777777,0.04232283464566929,0.025614754098360656,0.09389671361502348,0.03756345177664974,0.016025641025641024,2016,0.36625119846596355,0.00684931506849315,0.23433583959899748,0.009866102889358705,2010,0.28735632183908044,0.425287356321839,0.22988505747126436,0.05747126436781609,1,Medium,1
LEGO Dimensions,0.6779878278666451,0.04281496062992126,0.050204918032786885,0.0,0.03147208121827411,0.02564102564102564,2015,0.15819750719079578,0.3447488584474886,0.5434419381787802,1.0,2010,0.5568181818181818,0.3522727272727273,0.0,0.09090909090909091,1,High,2
Grand Theft Auto IV,0.911111111111111,0.04232283464566929,0.0010245901639344263,0.0,0.08121827411167513,0.01923076923076923,2008,0.08820709491850431,0.01141552511415525,0.6512113617376775,1.0,2000,0.011494252873563216,0.9195402298850575,0.0,0.0689655172413793,0,High,2
Warriors Orochi,0.6779878278666451,0.042322834645669286,0.011270491803278689,0.3004694835680751,0.00913705583756345,0.009615384615384614,2007,0.15052732502396932,0.3287671232876712,0.8872180451127819,1.0,2000,0.12643678160919541,0.10344827586206896,0.735632183908046,0.034482758620689655,0,High,2
Gex,0.6779878278666451,0.04281496062992126,0.050204918032786885,0.0,0.03350253807106599,0.01923076923076923,1995,0.004793863854266539,0.1004566210045662,0.4715956558061821,0.33474277660324175,1990,0.5568181818181818,0.37499999999999994,0.0,0.06818181818181818,0,High,2
